rank,lambda0_nm,lambda1_nm,lambda2_nm,weight0_nm,weight1_nm,weight2_nm,score,mean,rmse,p50,p90,p95,p99,max,sample_count
1,480,570,660,150.000000,90.000000,170.000000,0.058344348,0.023416058,0.047286229,0.020307627,0.040045185,0.044232477,0.057992944,2.140976752,655360
2,480,580,690,155.000000,105.000000,150.000000,0.059670545,0.021532765,0.048709984,0.018079167,0.035335500,0.043842242,0.065268157,2.254509989,655360
3,480,580,680,155.000000,100.000000,155.000000,0.061648132,0.021625771,0.050352517,0.017616447,0.035976787,0.045182461,0.068964673,2.368486092,655360
4,430,520,640,100.000000,105.000000,205.000000,0.063015007,0.026018811,0.049278607,0.021860594,0.040747117,0.054945599,0.096398984,3.717720351,655360
5,480,580,700,155.000000,110.000000,145.000000,0.063066105,0.022664649,0.051655212,0.019182707,0.037455347,0.045643572,0.066267633,2.395573441,655360
6,490,590,680,165.000000,95.000000,150.000000,0.065737612,0.031175579,0.048796809,0.024709264,0.061441987,0.067763209,0.074521414,1.828274487,655360
7,490,590,670,165.000000,90.000000,155.000000,0.067298104,0.030737965,0.050878211,0.024098330,0.059588888,0.065679574,0.072712230,2.242920715,655360
8,490,590,690,165.000000,100.000000,145.000000,0.069477812,0.032593701,0.051994502,0.025836194,0.063365334,0.069933240,0.076256532,2.004802880,655360
9,480,580,710,155.000000,115.000000,140.000000,0.070247737,0.024750540,0.057759949,0.020728995,0.041925566,0.049951153,0.070809250,2.696264871,655360
10,480,580,670,155.000000,95.000000,160.000000,0.071487451,0.023934107,0.058600616,0.018781134,0.040534957,0.051547341,0.079750492,2.787432267,655360
11,480,520,640,125.000000,80.000000,205.000000,0.075907278,0.037685576,0.052824569,0.026783510,0.082213450,0.092330838,0.109519464,4.493223173,655360
