rank,elevation_deg,lambda0_nm,lambda1_nm,lambda2_nm,score,mean,rmse,p50,p90,p95,p99,max,sample_count
1,-2.000000,480,570,660,0.020720171,0.011856596,0.014366548,0.010182907,0.020699826,0.025414493,0.039251058,0.469151723,65536
1,-1.000000,480,570,660,0.022215278,0.012787117,0.015475352,0.011077500,0.022137437,0.026959705,0.040656277,0.473260292,65536
1,0.000000,480,570,660,0.026275024,0.014163304,0.019046014,0.012363909,0.023980680,0.028916039,0.042865868,1.080127003,65536
1,1.000000,480,570,660,0.027021831,0.015696303,0.019158173,0.013852966,0.026171593,0.031454631,0.045995239,0.820053015,65536
1,2.000000,480,570,660,0.028730782,0.017231632,0.020160024,0.015359697,0.028661412,0.034283028,0.047989559,0.696261179,65536
1,5.000000,480,570,660,0.037549828,0.022276313,0.026184716,0.019626616,0.037250795,0.045460448,0.060678919,1.153412233,65536
1,10.000000,480,570,660,0.044809676,0.027229590,0.031453985,0.024566753,0.043336036,0.053422763,0.067718591,1.854983540,65536
1,20.000000,480,570,660,0.047152282,0.031792637,0.034121754,0.030392436,0.044964371,0.052122115,0.062219924,1.908572804,65536
1,45.000000,480,570,660,0.049080804,0.035976945,0.037443911,0.035950556,0.043894271,0.046547572,0.052832464,2.046551142,65536
1,90.000000,480,570,660,0.140251313,0.045150146,0.128594107,0.037425970,0.044261869,0.046628824,0.058049828,2.140976752,65536
2,-2.000000,480,580,690,0.022631915,0.013197261,0.015743071,0.011522290,0.022652717,0.027555376,0.041679852,0.477593971,65536
2,-1.000000,480,580,690,0.023996539,0.013913370,0.016778294,0.012150414,0.023992927,0.028872980,0.044098231,0.484016842,65536
2,0.000000,480,580,690,0.027343005,0.015176004,0.019611781,0.013233995,0.025887686,0.030924896,0.046152838,1.125913181,65536
2,1.000000,480,580,690,0.030064608,0.016860582,0.021517380,0.014657461,0.028744293,0.034188912,0.050411078,1.288916429,65536
2,2.000000,480,580,690,0.031588240,0.018392833,0.022350564,0.016017060,0.031520211,0.036950706,0.051726305,1.080300335,65536
2,5.000000,480,580,690,0.039525039,0.022933621,0.027226708,0.019105714,0.041262013,0.049193325,0.063952813,1.004542562,65536
2,10.000000,480,580,690,0.048641305,0.026683148,0.033107302,0.020928282,0.050638710,0.062136011,0.077566849,1.986750237,65536
