rank,elevation_deg,lambda0_nm,lambda1_nm,lambda2_nm,score,mean,rmse,p50,p90,p95,p99,max,sample_count
1,-2.000000,410,490,590,0.025023411,0.015303004,0.017642308,0.013833951,0.024781488,0.029524410,0.045051902,0.261426031,65536
1,-1.000000,410,490,590,0.023947550,0.014442834,0.016910288,0.012915184,0.023586236,0.028149049,0.044427854,0.305990086,65536
1,0.000000,410,490,590,0.029578954,0.014070276,0.022560915,0.012285819,0.022967825,0.028072157,0.045566728,2.067974713,65536
1,1.000000,410,490,590,0.025298298,0.013850442,0.018154530,0.012007353,0.022940603,0.028575071,0.047549325,1.007891365,65536
1,2.000000,410,490,590,0.023423260,0.013426217,0.016491680,0.011751866,0.022509870,0.027726318,0.043155597,0.671278056,65536
1,5.000000,410,490,590,0.028010037,0.014597941,0.019218437,0.012227689,0.027079934,0.035166402,0.050165247,1.059900945,65536
1,10.000000,410,490,590,0.029305304,0.015057459,0.020021548,0.012876002,0.027349827,0.037135024,0.050029839,1.401856151,65536
1,20.000000,410,490,590,0.024404192,0.014253468,0.017162510,0.012895185,0.024139943,0.028966730,0.038902861,1.273251844,65536
1,45.000000,410,490,590,0.020814803,0.012884032,0.014994666,0.011581071,0.020699402,0.023280547,0.029034888,1.058409395,65536
1,90.000000,410,490,590,0.064074018,0.016488190,0.058256524,0.011845777,0.020739817,0.023269979,0.030880997,1.104078042,65536
2,-2.000000,470,570,680,0.024592174,0.015074681,0.017296221,0.013702959,0.024832554,0.029183813,0.041623822,0.218313972,65536
2,-1.000000,470,570,680,0.025654868,0.015747578,0.018086464,0.014292103,0.025993684,0.030273613,0.042967905,0.316676561,65536
2,0.000000,470,570,680,0.028120332,0.016840692,0.020200580,0.015360979,0.027261024,0.031679009,0.044814490,1.173717842,65536
2,1.000000,470,570,680,0.029174035,0.017700546,0.020912043,0.016241651,0.028267679,0.033047968,0.048381184,0.823610823,65536
2,2.000000,470,570,680,0.031273305,0.018471386,0.022565713,0.016874259,0.029552164,0.034830368,0.051361696,1.354388171,65536
2,5.000000,470,570,680,0.032465147,0.019458086,0.023297662,0.018101797,0.031338795,0.036669940,0.050248020,1.309105280,65536
2,10.000000,470,570,680,0.031309635,0.019323118,0.022327714,0.018039968,0.031277093,0.035927685,0.045878784,1.036595123,65536
2,20.000000,470,570,680,0.027807497,0.017681883,0.019855467,0.016442460,0.028129771,0.031808119,0.039735670,1.121139562,65536
