rank,lambda0_nm,lambda1_nm,lambda2_nm,lambda3_nm,weight0_nm,weight1_nm,weight2_nm,weight3_nm,score,mean,rmse,p50,p90,p95,p99,max,sample_count
1,420,480,570,670,75.000000,75.000000,95.000000,165.000000,0.026051788,0.013731208,0.019643022,0.012542542,0.022029387,0.025635061,0.037590992,1.117532991,655360
2,430,500,570,660,90.000000,70.000000,80.000000,170.000000,0.029655130,0.015365490,0.021779425,0.013013551,0.027625440,0.031502821,0.039826210,0.992708773,655360
3,430,500,560,650,90.000000,65.000000,75.000000,180.000000,0.037482408,0.017977093,0.029288092,0.016055472,0.027654298,0.032777263,0.050572237,1.562872061,655360
4,430,510,580,670,95.000000,75.000000,80.000000,160.000000,0.038747521,0.016577860,0.030642847,0.014344915,0.028016845,0.032418693,0.048319814,1.710235751,655360
5,480,490,580,670,110.000000,50.000000,90.000000,160.000000,0.039736038,0.016629000,0.031651040,0.014239804,0.027270243,0.032339990,0.052948277,1.836794720,655360
6,420,480,560,650,75.000000,70.000000,85.000000,180.000000,0.040103445,0.018163869,0.031221277,0.015566107,0.028490225,0.035528671,0.054344316,1.654420852,655360
7,430,500,580,690,90.000000,75.000000,95.000000,150.000000,0.040438440,0.020010732,0.029198908,0.015941867,0.040285697,0.044958127,0.052158664,1.375028986,655360
8,480,490,580,680,110.000000,50.000000,95.000000,155.000000,0.041299223,0.019165527,0.032633824,0.017003171,0.030919048,0.034661594,0.047791254,1.544494752,655360
9,400,470,570,680,60.000000,85.000000,105.000000,160.000000,0.041397622,0.019125356,0.032668392,0.017134607,0.029244402,0.034916920,0.051320017,1.729903618,655360
10,430,510,580,660,95.000000,75.000000,75.000000,165.000000,0.041882844,0.019247467,0.032795018,0.016932660,0.032548478,0.036351307,0.046198243,1.465861329,655360
11,480,500,580,660,115.000000,50.000000,80.000000,165.000000,0.042289174,0.019220854,0.031750995,0.015017796,0.036956173,0.042152713,0.056000454,2.121580231,655360
