rank,elevation_deg,lambda0_nm,lambda1_nm,lambda2_nm,lambda3_nm,score,mean,rmse,p50,p90,p95,p99,max,sample_count
1,-2.000000,420,480,570,670,0.020907605,0.012591825,0.014670706,0.011284384,0.020970908,0.024947596,0.037164144,0.309331055,65536
1,-1.000000,420,480,570,670,0.021679923,0.012947330,0.015233031,0.011617921,0.021607076,0.025787567,0.038605523,0.321760469,65536
1,0.000000,420,480,570,670,0.024172451,0.013574480,0.017522800,0.012083137,0.022366436,0.026598607,0.039852881,1.117532991,65536
1,1.000000,420,480,570,670,0.024024749,0.013962727,0.017166325,0.012499129,0.022952689,0.027433696,0.041946184,0.760783364,65536
1,2.000000,420,480,570,670,0.024693734,0.014308526,0.017533208,0.012771186,0.023697718,0.028642103,0.044093651,0.795266001,65536
1,5.000000,420,480,570,670,0.025190363,0.014383870,0.017970539,0.013036400,0.023900122,0.028879298,0.042241469,1.095045820,65536
1,10.000000,420,480,570,670,0.023032346,0.013767423,0.016572995,0.013081796,0.022495767,0.025837401,0.034491589,0.918713676,65536
1,20.000000,420,480,570,670,0.020862406,0.013179889,0.014991206,0.013061110,0.021091920,0.023484800,0.029277289,0.713527185,65536
1,45.000000,420,480,570,670,0.020437650,0.013009613,0.014690056,0.012868176,0.020788840,0.022990375,0.027774794,0.669553433,65536
1,90.000000,420,480,570,670,0.044202177,0.015586393,0.038261278,0.013442627,0.021512488,0.023763596,0.030194351,0.649156350,65536
2,-2.000000,430,500,570,660,0.020759255,0.012145145,0.014459009,0.010629890,0.020705079,0.025200984,0.039425122,0.204766069,65536
2,-1.000000,430,500,570,660,0.020887705,0.012128577,0.014622631,0.010613081,0.020520558,0.025060297,0.039731724,0.406987064,65536
2,0.000000,430,500,570,660,0.023601480,0.012353010,0.017264907,0.010702473,0.020604768,0.025346293,0.041349470,0.992708773,65536
2,1.000000,430,500,570,660,0.022356991,0.012520190,0.015955999,0.010928238,0.020712471,0.025603967,0.042021633,0.800205679,65536
2,2.000000,430,500,570,660,0.020997697,0.012324337,0.014839433,0.010901006,0.020229245,0.024633057,0.039651861,0.423509321,65536
2,5.000000,430,500,570,660,0.021553769,0.012608068,0.015536250,0.011455881,0.020528415,0.024070079,0.036503555,0.839751361,65536
2,10.000000,430,500,570,660,0.023494818,0.014312799,0.016907736,0.013743976,0.023305857,0.026348328,0.035626267,0.849005918,65536
2,20.000000,430,500,570,660,0.026927764,0.017477852,0.019400626,0.017616736,0.027558499,0.030108549,0.035694632,0.471560560,65536
2,45.000000,430,500,570,660,0.032109784,0.021712156,0.023517226,0.022574984,0.032069730,0.034370231,0.039338259,0.671695178,65536
2,90.000000,430,500,570,660,0.054895883,0.026072769,0.045727221,0.024887141,0.034297183,0.036674650,0.043274380,0.735829467,65536
3,-2.000000,430,500,560,650,0.024423412,0.014600768,0.017018131,0.012963536,0.024368954,0.029621121,0.044812351,0.202256764,65536
3,-1.000000,430,500,560,650,0.025248687,0.014981840,0.017624817,0.013231538,0.024897412,0.030495479,0.046619219,0.385257801,65536
3,0.000000,430,500,560,650,0.029214204,0.015600863,0.021082543,0.013441447,0.025995393,0.032526643,0.052207664,1.479716715,65536
3,1.000000,430,500,560,650,0.032623760,0.016669958,0.023342569,0.013847171,0.028860641,0.037124763,0.060948042,1.562872061,65536
3,2.000000,430,500,560,650,0.032103394,0.017119196,0.022302709,0.014025313,0.030222332,0.039202738,0.061594679,1.505823645,65536
3,5.000000,430,500,560,650,0.030569970,0.016855691,0.021232809,0.014090004,0.029038838,0.037348643,0.054744903,1.419856580,65536
3,10.000000,430,500,560,650,0.029492014,0.017386276,0.020666593,0.015346945,0.028049672,0.035301685,0.049900636,1.241552433,65536
3,20.000000,430,500,560,650,0.028658559,0.018972166,0.020829059,0.018210808,0.026945085,0.031317998,0.042181271,1.142971548,65536
3,45.000000,430,500,560,650,0.029818040,0.021238013,0.022413521,0.021189527,0.027563901,0.029618075,0.035441575,1.049702460,65536
3,90.000000,430,500,560,650,0.076115621,0.026346158,0.068386814,0.022253547,0.028789177,0.030915228,0.039726328,1.244800491,65536
4,-2.000000,430,510,580,670,0.019797606,0.011158269,0.013612955,0.009400997,0.019638897,0.024738604,0.040202357,0.183870422,65536
4,-1.000000,430,510,580,670,0.020331395,0.011282438,0.014052965,0.009461948,0.019891711,0.025113720,0.040611220,0.322556524,65536
4,0.000000,430,510,580,670,0.022085819,0.011734792,0.015595366,0.009760496,0.020601544,0.025961813,0.041713785,0.837413320,65536
4,1.000000,430,510,580,670,0.022758719,0.012357767,0.015874758,0.010242978,0.021906126,0.027535844,0.042995079,0.719386146,65536
4,2.000000,430,510,580,670,0.024163200,0.013229823,0.016687821,0.010961200,0.023771870,0.029901516,0.045942519,0.809737261,65536
4,5.000000,430,510,580,670,0.030582735,0.016059884,0.020822589,0.012916729,0.030154733,0.039040585,0.055631503,1.306211416,65536
4,10.000000,430,510,580,670,0.033512910,0.018412233,0.023046048,0.015650127,0.032260110,0.041867449,0.057707481,1.710235751,65536
4,20.000000,430,510,580,670,0.031579459,0.020362857,0.022698543,0.019288094,0.029556293,0.035523663,0.048279016,1.445817702,65536
4,45.000000,430,510,580,670,0.031955989,0.022615197,0.023988091,0.022540238,0.029729610,0.031871589,0.037739151,1.284658298,65536
4,90.000000,430,510,580,670,0.086996844,0.028565337,0.078600145,0.023800077,0.031320498,0.033586794,0.041710692,1.408426361,65536
5,-2.000000,480,490,580,670,0.018902839,0.011297270,0.013293200,0.010047676,0.018531709,0.022438556,0.035173331,0.392246823,65536
5,-1.000000,480,490,580,670,0.019893671,0.011544280,0.013932167,0.010115812,0.019449615,0.023846017,0.037170300,0.396833293,65536
5,0.000000,480,490,580,670,0.021969096,0.012189217,0.015672450,0.010585506,0.020745611,0.025186584,0.038266583,0.832644133,65536
5,1.000000,480,490,580,670,0.022899890,0.013004789,0.016092891,0.011211809,0.022521450,0.027227994,0.039881799,0.667744740,65536
5,2.000000,480,490,580,670,0.024758481,0.014073371,0.017130317,0.011978528,0.024990656,0.030512655,0.042966294,0.605780006,65536
5,5.000000,480,490,580,670,0.034260309,0.018090587,0.023021381,0.014111973,0.035386435,0.044955713,0.060450073,1.160455296,65536
5,10.000000,480,490,580,670,0.039111987,0.020470446,0.026245554,0.016555128,0.038725267,0.051465729,0.066134174,1.836794720,65536
5,20.000000,480,490,580,670,0.033685104,0.020571517,0.023500788,0.019087417,0.031432464,0.040737264,0.051941677,1.708927751,65536
5,45.000000,480,490,580,670,0.029008972,0.019872551,0.021542698,0.019237381,0.027867324,0.029865095,0.033566021,1.425234118,65536
5,90.000000,480,490,580,670,0.088910460,0.025175974,0.081325435,0.019266894,0.028805170,0.030340099,0.034640552,1.365304547,65536
6,-2.000000,420,480,560,650,0.025974509,0.015853675,0.018173327,0.014218064,0.026184954,0.031204726,0.044919952,0.292296277,65536
6,-1.000000,420,480,560,650,0.027586731,0.016814966,0.019334263,0.014973198,0.027567940,0.033009873,0.047965125,0.327964440,65536
6,0.000000,420,480,560,650,0.031915874,0.017928915,0.023029613,0.015685470,0.029246141,0.035545045,0.054348234,1.482233491,65536
6,1.000000,420,480,560,650,0.035964975,0.019415197,0.025680093,0.016441776,0.032722050,0.041139528,0.063754815,1.590024538,65536
6,2.000000,420,480,560,650,0.036442411,0.020144421,0.025421577,0.016744336,0.034756517,0.044083336,0.066579565,1.630389797,65536
6,5.000000,420,480,560,650,0.035827299,0.019813931,0.024853879,0.016262143,0.034419184,0.043893677,0.062645273,1.654420852,65536
6,10.000000,420,480,560,650,0.031912788,0.018284218,0.022195044,0.015177982,0.031223310,0.038870977,0.052498232,1.491945104,65536
6,20.000000,420,480,560,650,0.027495407,0.016910299,0.019325612,0.014822202,0.027283461,0.032679180,0.043127749,1.219222456,65536
6,45.000000,420,480,560,650,0.024048853,0.016142636,0.017657890,0.015703229,0.022468897,0.025563852,0.033264947,1.051924286,65536
6,90.000000,420,480,560,650,0.079566707,0.020330435,0.073565586,0.015920095,0.021083405,0.024004487,0.035247012,1.382323997,65536
7,-2.000000,430,500,580,690,0.020512595,0.011841401,0.014215068,0.010232529,0.020444851,0.025190109,0.039313084,0.196641476,65536
7,-1.000000,430,500,580,690,0.021097829,0.012050404,0.014726991,0.010404492,0.020700097,0.025483353,0.040260078,0.425105324,65536
7,0.000000,430,500,580,690,0.023976379,0.012752719,0.017344345,0.011016739,0.021395977,0.026528136,0.043775730,1.126142591,65536
7,1.000000,430,500,580,690,0.026636220,0.013912060,0.019063336,0.011890765,0.023333002,0.030291537,0.050182887,1.375028986,65536
7,2.000000,430,500,580,690,0.027875128,0.014861454,0.019695603,0.012816321,0.024594005,0.032718099,0.054025742,1.266964954,65536
7,5.000000,430,500,580,690,0.027901357,0.016344455,0.020131814,0.015514264,0.025954164,0.031078172,0.047595292,1.261809293,65536
7,10.000000,430,500,580,690,0.030510507,0.019454006,0.022213376,0.020298997,0.030678360,0.033188525,0.039808692,0.959462438,65536
7,20.000000,430,500,580,690,0.038659612,0.026026456,0.028376518,0.028485342,0.038715057,0.041132376,0.046330790,0.458502412,65536
7,45.000000,430,500,580,690,0.047680826,0.033436349,0.035530868,0.036478492,0.046363745,0.048599831,0.053445281,0.768600722,65536
7,90.000000,430,500,580,690,0.076783007,0.039428013,0.063939523,0.039604068,0.049105662,0.051373933,0.058200903,1.013912129,65536
8,-2.000000,480,490,580,680,0.021352837,0.013404797,0.015195439,0.012328543,0.020667924,0.024629589,0.037232698,0.393394595,65536
8,-1.000000,480,490,580,680,0.022054938,0.013644072,0.015714830,0.012469725,0.021264671,0.025360433,0.038925888,0.398723065,65536
8,0.000000,480,490,580,680,0.024172976,0.014187555,0.017566259,0.012892351,0.022031541,0.026426869,0.040917639,1.464599131,65536
8,1.000000,480,490,580,680,0.025360198,0.015104300,0.018204605,0.013627560,0.023872102,0.028622373,0.042807442,0.942968925,65536
8,2.000000,480,490,580,680,0.026313709,0.015908181,0.018696718,0.014311175,0.025430828,0.030467967,0.043983610,0.854009142,65536
8,5.000000,480,490,580,680,0.031719003,0.018626341,0.021970673,0.016325422,0.031360324,0.038993321,0.052821940,1.014724188,65536
8,10.000000,480,490,580,680,0.036327539,0.021332422,0.025203214,0.019439291,0.034588861,0.044497300,0.057478225,1.544494752,65536
8,20.000000,480,490,580,680,0.034537862,0.023185262,0.025192391,0.023318943,0.031795890,0.037381884,0.046904961,1.464552672,65536
8,45.000000,480,490,580,680,0.035151070,0.025078557,0.026474271,0.025612668,0.032998976,0.034707196,0.038196147,1.361101685,65536
8,90.000000,480,490,580,680,0.091107678,0.031183780,0.082029283,0.026630911,0.034811054,0.036313580,0.041005211,1.351083634,65536
