rank,lambda0_nm,lambda1_nm,lambda2_nm,lambda3_nm,weight0_nm,weight1_nm,weight2_nm,weight3_nm,score,mean,rmse,p50,p90,p95,p99,max,sample_count
1,410,480,560,630,176.940848,85.823687,76.294642,70.940823,0.018076142,0.009265099,0.013054998,0.007691577,0.016060904,0.020084574,0.033200558,1.344574000,655360
2,410,480,560,620,201.583259,79.531900,75.655095,53.229746,0.018140133,0.009780053,0.013044714,0.008455938,0.016773137,0.020381677,0.033266770,1.095532431,655360
3,410,480,550,610,204.641199,78.404236,64.746958,62.207607,0.018374337,0.009054935,0.013222527,0.007374635,0.015999293,0.020607242,0.034772224,2.092916632,655360
4,410,480,550,620,187.411303,82.772342,68.171635,71.644719,0.018640708,0.009669842,0.013530051,0.008134203,0.016390984,0.020442626,0.034099841,0.972323035,655360
5,420,490,580,670,78.550339,120.189293,89.238047,122.022322,0.018647410,0.009523929,0.013691600,0.008038883,0.015800994,0.019823238,0.033435600,0.927166853,655360
6,410,480,540,600,209.005105,76.594768,54.056390,70.343737,0.018872530,0.009749929,0.013386106,0.008068659,0.017222433,0.021945693,0.036427719,1.515107502,655360
7,440,490,580,680,31.280358,111.717534,91.863807,175.138301,0.018932917,0.009684745,0.013828840,0.008223153,0.016359637,0.020416311,0.033692299,1.428538067,655360
8,410,480,530,590,213.817986,74.604378,39.936201,81.641435,0.019391590,0.009601568,0.014022192,0.007924696,0.016689055,0.021477593,0.037404529,2.073347794,655360
9,440,500,580,670,46.620327,92.603523,80.202565,190.573585,0.019545965,0.009746406,0.014573318,0.008242008,0.016044343,0.019890587,0.033223624,0.832041040,655360
10,410,470,540,620,208.096481,48.187715,76.188755,77.527049,0.019756607,0.010192881,0.014204701,0.008521005,0.017515587,0.022207622,0.037392131,1.189423978,655360
11,440,490,570,660,34.698871,98.856852,77.028523,199.415753,0.019905513,0.010604006,0.014258297,0.009090042,0.018168102,0.022588862,0.036933324,1.083796956,655360
