rank,elevation_deg,lambda0_nm,lambda1_nm,lambda2_nm,lambda3_nm,score,mean,rmse,p50,p90,p95,p99,max,sample_count
1,-2.000000,410,480,560,630,0.017583981,0.009774727,0.012178594,0.008180494,0.017146799,0.021621548,0.035209645,0.336868396,65536
1,-1.000000,410,480,560,630,0.018104456,0.009904862,0.012546032,0.008229679,0.017467643,0.022233699,0.036177538,0.341085434,65536
1,0.000000,410,480,560,630,0.020975564,0.010103639,0.015300807,0.008274981,0.017813319,0.022699028,0.037770199,1.344574000,65536
1,1.000000,410,480,560,630,0.019616161,0.010231130,0.013834517,0.008345617,0.018181324,0.023126574,0.039079726,0.654085471,65536
1,2.000000,410,480,560,630,0.019127287,0.010142853,0.013496551,0.008411276,0.017864265,0.022522944,0.037504458,0.731449438,65536
1,5.000000,410,480,560,630,0.018321732,0.009719046,0.012988589,0.008129765,0.017169427,0.021332572,0.033681016,0.978265566,65536
1,10.000000,410,480,560,630,0.015838460,0.008751503,0.011135987,0.007414582,0.015521637,0.018809892,0.028574370,0.348516052,65536
1,20.000000,410,480,560,630,0.013760788,0.007861514,0.009659143,0.006812268,0.013797039,0.016406580,0.023652992,0.306670621,65536
1,45.000000,410,480,560,630,0.012869613,0.007537207,0.009057994,0.006623872,0.012989608,0.015246478,0.020783954,0.317923743,65536
1,90.000000,410,480,560,630,0.021911224,0.008624510,0.017968954,0.006733498,0.013376835,0.015769077,0.024175494,0.530024422,65536
2,-2.000000,410,480,560,620,0.017245449,0.009644259,0.011952571,0.008148512,0.016870534,0.021171510,0.034476176,0.321279602,65536
2,-1.000000,410,480,560,620,0.017796663,0.009721860,0.012329214,0.008093960,0.017117949,0.021869794,0.035997987,0.324486587,65536
2,0.000000,410,480,560,620,0.019954116,0.009914951,0.014346604,0.008136466,0.017521814,0.022430047,0.037159064,0.993386191,65536
2,1.000000,410,480,560,620,0.020105436,0.010205382,0.014242959,0.008280795,0.018229657,0.023449906,0.039511367,0.949274700,65536
