rank,lambda0_nm,lambda1_nm,lambda2_nm,lambda3_nm,weight0_nm,weight1_nm,weight2_nm,weight3_nm,score,mean,rmse,p50,p90,p95,p99,max,sample_count
1,410,480,550,610,204.692366,77.806979,64.524045,62.976610,0.017945542,0.008880061,0.012891428,0.007264274,0.015694927,0.020216457,0.034304000,2.092388520,655360
2,420,490,580,670,79.764123,119.510543,89.238635,121.486699,0.018286013,0.009309431,0.013364576,0.007796700,0.015634400,0.019685749,0.033356253,0.931154424,655360
3,410,480,560,620,200.871176,79.408450,75.188532,54.531843,0.018397043,0.010204675,0.013228704,0.008971811,0.017283429,0.020673354,0.032938522,1.053005062,655360
4,410,480,560,630,177.152135,86.314305,76.925818,69.607743,0.018558037,0.009146163,0.013610741,0.007504015,0.015700996,0.019789187,0.033063500,1.346031986,655360
5,410,480,540,600,209.465153,75.683470,53.680865,71.170511,0.019090627,0.009665241,0.013737886,0.007982321,0.016836179,0.021410962,0.035785647,1.513505920,655360
6,410,480,540,610,196.105182,79.440902,61.616104,72.837812,0.019611478,0.010712353,0.014157127,0.009442555,0.017961739,0.021817405,0.035037852,1.994110679,655360
7,410,480,550,620,187.500087,82.810106,68.557250,71.132557,0.019641828,0.010054837,0.014428744,0.008499739,0.016888248,0.020852336,0.034340048,0.972705602,655360
8,440,500,580,670,46.592951,93.128969,80.161757,190.116323,0.019784353,0.009848972,0.014776667,0.008345115,0.016209091,0.020030742,0.033320542,0.832186576,655360
9,410,480,530,590,214.246029,73.527048,40.026725,82.200198,0.019849667,0.009739399,0.014477125,0.008029114,0.016865251,0.021490168,0.037225434,2.072700639,655360
10,440,490,570,660,37.355657,95.108400,77.540631,199.995312,0.020129772,0.010268592,0.014154708,0.008384438,0.018774228,0.023900257,0.038040710,1.086433231,655360
11,410,470,540,620,208.863984,46.157395,76.649091,78.329531,0.020351005,0.010051083,0.014648639,0.008152139,0.017836188,0.022809461,0.038141228,1.199751838,655360
