rank,elevation_deg,lambda0_nm,lambda1_nm,lambda2_nm,lambda3_nm,score,mean,rmse,p50,p90,p95,p99,max,sample_count
1,-2.000000,410,480,550,610,0.017647414,0.009826436,0.012175694,0.008230687,0.017269330,0.021886880,0.035523234,0.314446065,65536
1,-1.000000,410,480,550,610,0.018125562,0.009813541,0.012508159,0.008054770,0.017522957,0.022469615,0.036728705,0.320313565,65536
1,0.000000,410,480,550,610,0.025665400,0.009954354,0.019896012,0.007891883,0.017945755,0.023077551,0.038136849,2.092388520,65536
1,1.000000,410,480,550,610,0.020019291,0.010076278,0.013868419,0.007865413,0.018729988,0.024603487,0.041246040,0.709952662,65536
1,2.000000,410,480,550,610,0.019501225,0.009964512,0.013406750,0.007767722,0.018666974,0.024377903,0.040509831,0.580968368,65536
1,5.000000,410,480,550,610,0.017344661,0.009018562,0.012130736,0.007244233,0.016425010,0.020855700,0.033724848,0.607867397,65536
1,10.000000,410,480,550,610,0.014711513,0.008000459,0.010284243,0.006663958,0.014144558,0.017709080,0.028312191,0.391110435,65536
1,20.000000,410,480,550,610,0.012791750,0.007259375,0.008969264,0.006284046,0.012577194,0.015289944,0.023993835,0.220425060,65536
1,45.000000,410,480,550,610,0.011987892,0.006996990,0.008444340,0.006320239,0.012013366,0.014174207,0.020341598,0.350284716,65536
1,90.000000,410,480,550,610,0.017321097,0.007890100,0.013586293,0.006640041,0.012646216,0.014939215,0.023356293,0.375673036,65536
2,-2.000000,420,490,580,670,0.018058962,0.010379644,0.012579242,0.008946879,0.017485649,0.021918881,0.036011382,0.213428400,65536
2,-1.000000,420,490,580,670,0.018227186,0.010132170,0.012684574,0.008519098,0.017384975,0.022170447,0.036477115,0.310909923,65536
2,0.000000,420,490,580,670,0.019392989,0.009974226,0.013882232,0.008277458,0.017157231,0.022043031,0.037942062,0.840665046,65536
2,1.000000,420,490,580,670,0.019656106,0.009956109,0.013943973,0.008069055,0.017447401,0.022848529,0.038324101,0.931154424,65536
2,2.000000,420,490,580,670,0.018487997,0.009752299,0.012935327,0.007941266,0.017204224,0.022210682,0.037692376,0.671266398,65536
2,5.000000,420,490,580,670,0.016752592,0.008987892,0.011911309,0.007577964,0.015371912,0.019365131,0.031616263,0.565708151,65536
2,10.000000,420,490,580,670,0.014922583,0.008456447,0.010589513,0.007400686,0.014168442,0.017332280,0.027606006,0.274260536,65536
2,20.000000,420,490,580,670,0.014003786,0.008151946,0.009858364,0.007248313,0.013756601,0.016581688,0.024847654,0.299928299,65536
2,45.000000,420,490,580,670,0.013548783,0.008010783,0.009600006,0.007111828,0.013316553,0.015795108,0.022755097,0.382520327,65536
